"X","taxon_name","genus","family","leaf_mass_per_area","seed_dry_mass","leaf_length","leaf_width","plant_height","original_leaf_mass_per_area"
11771,"Acacia stigmatophylla","Acacia","Fabaceae",NA,NA,47.5,12,3,NA
11772,"Acacia stipulosa","Acacia","Fabaceae",NA,NA,6,3.5,3,NA
11773,"Acacia striatifolia","Acacia","Fabaceae",NA,NA,67,25,8,NA
11774,"Acacia strongylophylla","Acacia","Fabaceae",NA,18.2,17.5,20,4,NA
11775,"Acacia subcaerulea","Acacia","Fabaceae",NA,30.5,52.5,6.5,NA,NA
11776,"Vachellia suberosa","Vachellia","Fabaceae",NA,NA,2.8,0.85,14,NA
11777,"Acacia subflexuosa","Acacia","Fabaceae",NA,NA,52.5,NA,1,NA
11778,"Acacia sublanata","Acacia","Fabaceae",107,11.5,9.5,9.5,3,107
11779,"Acacia subporosa","Acacia","Fabaceae",89.9,9.51,78.3,8.67,12,89.9
11780,"Acacia subracemosa","Acacia","Fabaceae",NA,3.92,4.5,2.25,5,NA
11781,"Acacia subrigida","Acacia","Fabaceae",NA,NA,115,1.25,2.5,NA
11782,"Acacia subsessilis","Acacia","Fabaceae",NA,NA,20,1.25,2,NA
11783,"Acacia subternata","Acacia","Fabaceae",NA,NA,9,0.6,1.2,NA
11784,"Acacia subtilinervis","Acacia","Fabaceae",NA,7.95,111,10.7,5.5,NA
11785,"Acacia sulcata","Acacia","Fabaceae",NA,NA,15,1.5,2,NA
11786,"Acacia sutherlandii","Acacia","Fabaceae",NA,NA,3.25,1,15,NA
11787,"Acacia symonii","Acacia","Fabaceae",NA,NA,110,2.25,4,NA
11788,"Acacia synchronicia","Acacia","Fabaceae",NA,15.6,20,5.5,3,NA
11789,"Acacia synoria","Acacia","Fabaceae",NA,4.06,75,0.85,4,NA
11790,"Acacia tabula","Acacia","Fabaceae",NA,NA,8,2.25,0.6,NA
11791,"Acacia tarculensis","Acacia","Fabaceae",NA,89.3,40,10.5,3,NA
11792,"Acacia tayloriana","Acacia","Fabaceae",NA,NA,8,4,NA,NA
11793,"Acacia telmica","Acacia","Fabaceae",NA,24.5,30,14,3,NA
11794,"Acacia tenuinervis","Acacia","Fabaceae",NA,NA,95,22.5,9,NA
11795,"Acacia tenuior","Acacia","Fabaceae",NA,NA,110,NA,2,NA
11796,"Acacia tenuispica","Acacia","Fabaceae",NA,NA,55,11,4,NA
11797,"Acacia tephrina","Acacia","Fabaceae",NA,NA,90,3.25,20,NA
11798,"Acacia teretifolia","Acacia","Fabaceae",NA,6.82,17.5,1.1,0.5,NA
11799,"Acacia tetanophylla","Acacia","Fabaceae",NA,NA,27.5,1.25,2,NA
11800,"Acacia tetragonocarpa","Acacia","Fabaceae",NA,26.6,2.25,NA,1,NA
11801,"Acacia tetraneura","Acacia","Fabaceae",NA,4.33,50,2.25,0.4,NA
11802,"Acacia tetraptera","Acacia","Fabaceae",NA,NA,3.25,3.1,0.7,NA
11803,"Acacia thomsonii","Acacia","Fabaceae",298,6.2,122,15,6,298
11804,"Acacia tingoorensis","Acacia","Fabaceae",NA,NA,140,28.5,NA,NA
11805,"Acacia tolmerensis","Acacia","Fabaceae",NA,NA,178,68.5,1.5,NA
11806,"Acacia toondulya","Acacia","Fabaceae",NA,18.8,75,20,3,NA
11807,"Acacia torticarpa","Acacia","Fabaceae",NA,NA,45,2.75,NA,NA
11808,"Acacia torulosa","Acacia","Fabaceae",NA,56,135,9.5,15,NA
11809,"Acacia trachycarpa","Acacia","Fabaceae",755,37.2,60,1.9,5,755
11810,"Acacia trachyphloia","Acacia","Fabaceae",NA,10.1,2,0.418,18,NA
11811,"Acacia translucens","Acacia","Fabaceae",NA,12.8,15,6.5,2,NA
